,NAICS2017_LABEL,SEX_LABEL,ETH_GROUP,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP_LABEL,YIBSZFI,YIBSZFI_LABEL,FIRMPDEMP,RCPPDEMP,EMP,PAYANN,EMPSZFI,EMPSZFI_LABEL
10239,Accommodation and food services,Total,029,70,Native Hawaiian and Other Pacific Islander,Total,323,Firms with 16 or more years in business,S,S,"1,000 to 2,499 employees",S,,
10240,Accommodation and food services,Total,001,90,Minority,Total,311,Firms with less than 2 years in business,37860,W,300178,6536526,,
10241,Accommodation and food services,Total,001,90,Minority,Total,318,Firms with 2 to 3 years in business,34212,W,389848,7197535,,
10242,Accommodation and food services,Total,001,90,Minority,Total,319,Firms with 4 to 5 years in business,25980,W,304872,5762078,,
10243,Accommodation and food services,Total,001,90,Minority,Total,321,Firms with 6 to 10 years in business,40497,W,495276,9617009,,
10244,Accommodation and food services,Total,001,90,Minority,Total,322,Firms with 11 to 15 years in business,24598,W,343589,6937100,,
10245,Accommodation and food services,Total,001,90,Minority,Total,323,Firms with 16 or more years in business,29802,W,723418,15312607,,
10246,Accommodation and food services,Female,001,90,Minority,Total,311,Firms with less than 2 years in business,11107,W,85158,1905608,,
10247,Accommodation and food services,Female,001,90,Minority,Total,318,Firms with 2 to 3 years in business,9267,W,99447,1810424,,
10248,Accommodation and food services,Female,001,90,Minority,Total,319,Firms with 4 to 5 years in business,7415,W,80640,1508597,,
10249,Accommodation and food services,Female,001,90,Minority,Total,321,Firms with 6 to 10 years in business,11006,W,114130,2252594,,
10250,Accommodation and food services,Female,001,90,Minority,Total,322,Firms with 11 to 15 years in business,5619,U,66459,1389861,,
10251,Accommodation and food services,Female,001,90,Minority,Total,323,Firms with 16 or more years in business,6614,W,112980,2446542,,
10252,Accommodation and food services,Male,001,90,Minority,Total,311,Firms with less than 2 years in business,20550,W,163805,3607064,,
10253,Accommodation and food services,Male,001,90,Minority,Total,318,Firms with 2 to 3 years in business,18968,W,233454,4383510,,
10254,Accommodation and food services,Male,001,90,Minority,Total,319,Firms with 4 to 5 years in business,14184,W,182022,3383039,,
10255,Accommodation and food services,Male,001,90,Minority,Total,321,Firms with 6 to 10 years in business,21635,W,299558,5675757,,
10256,Accommodation and food services,Male,001,90,Minority,Total,322,Firms with 11 to 15 years in business,14358,W,220285,4432553,,
10257,Accommodation and food services,Male,001,90,Minority,Total,323,Firms with 16 or more years in business,16706,W,450685,9351313,,
10258,Accommodation and food services,Equally male/female,001,90,Minority,Total,311,Firms with less than 2 years in business,6203,U,51215,1023854,,
10259,Accommodation and food services,Equally male/female,001,90,Minority,Total,318,Firms with 2 to 3 years in business,5977,U,56947,1003601,,
10260,Accommodation and food services,Equally male/female,001,90,Minority,Total,319,Firms with 4 to 5 years in business,4380,U,42210,870441,,
10261,Accommodation and food services,Equally male/female,001,90,Minority,Total,321,Firms with 6 to 10 years in business,7855,W,81587,1688659,,
10262,Accommodation and food services,Equally male/female,001,90,Minority,Total,322,Firms with 11 to 15 years in business,4619,U,56845,1114686,,
10263,Accommodation and food services,Equally male/female,001,90,Minority,Total,323,Firms with 16 or more years in business,6483,W,159753,3514752,,
10264,Accommodation and food services,Total,001,91,Equally minority/nonminority,Total,311,Firms with less than 2 years in business,2700,U,20617,1593706,,
10265,Accommodation and food services,Total,001,91,Equally minority/nonminority,Total,318,Firms with 2 to 3 years in business,2124,U,30145,596485,,
10266,Accommodation and food services,Total,001,91,Equally minority/nonminority,Total,319,Firms with 4 to 5 years in business,1717,U,20723,463066,,
10267,Accommodation and food services,Total,001,91,Equally minority/nonminority,Total,321,Firms with 6 to 10 years in business,1924,U,36508,759688,,
10268,Accommodation and food services,Total,001,91,Equally minority/nonminority,Total,322,Firms with 11 to 15 years in business,938,U,33360,660037,,
10269,Accommodation and food services,Total,001,91,Equally minority/nonminority,Total,323,Firms with 16 or more years in business,1681,W,84399,1697649,,
10270,Accommodation and food services,Female,001,91,Equally minority/nonminority,Total,311,Firms with less than 2 years in business,29,K,126,3888,,
10271,Accommodation and food services,Female,001,91,Equally minority/nonminority,Total,318,Firms with 2 to 3 years in business,D,D,500 to 999 employees,D,,
10272,Accommodation and food services,Female,001,91,Equally minority/nonminority,Total,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
10273,Accommodation and food services,Female,001,91,Equally minority/nonminority,Total,323,Firms with 16 or more years in business,S,S,250 to 499 employees,S,,
10274,Accommodation and food services,Male,001,91,Equally minority/nonminority,Total,311,Firms with less than 2 years in business,562,R,5061,111199,,
10275,Accommodation and food services,Male,001,91,Equally minority/nonminority,Total,318,Firms with 2 to 3 years in business,S,S,"10,000 to 24,999 employees",S,,
10276,Accommodation and food services,Male,001,91,Equally minority/nonminority,Total,319,Firms with 4 to 5 years in business,S,S,"5,000 to 9,999 employees",S,,
10277,Accommodation and food services,Male,001,91,Equally minority/nonminority,Total,321,Firms with 6 to 10 years in business,517,T,9383,170417,,
10278,Accommodation and food services,Male,001,91,Equally minority/nonminority,Total,322,Firms with 11 to 15 years in business,S,S,"5,000 to 9,999 employees",S,,
10279,Accommodation and food services,Male,001,91,Equally minority/nonminority,Total,323,Firms with 16 or more years in business,418,U,16402,333862,,
10280,Accommodation and food services,Equally male/female,001,91,Equally minority/nonminority,Total,311,Firms with less than 2 years in business,2110,U,15430,1478620,,
10281,Accommodation and food services,Equally male/female,001,91,Equally minority/nonminority,Total,318,Firms with 2 to 3 years in business,1543,T,16969,295010,,
10282,Accommodation and food services,Equally male/female,001,91,Equally minority/nonminority,Total,319,Firms with 4 to 5 years in business,1209,T,11145,216610,,
10283,Accommodation and food services,Equally male/female,001,91,Equally minority/nonminority,Total,321,Firms with 6 to 10 years in business,1406,U,27124,589271,,
10284,Accommodation and food services,Equally male/female,001,91,Equally minority/nonminority,Total,322,Firms with 11 to 15 years in business,787,U,26995,549185,,
10285,Accommodation and food services,Equally male/female,001,91,Equally minority/nonminority,Total,323,Firms with 16 or more years in business,1226,U,67616,1354956,,
10286,Accommodation and food services,Total,001,92,Nonminority,Total,311,Firms with less than 2 years in business,62746,W,591115,13012750,,
10287,Accommodation and food services,Total,001,92,Nonminority,Total,318,Firms with 2 to 3 years in business,50440,W,793664,14311583,,
10288,Accommodation and food services,Total,001,92,Nonminority,Total,319,Firms with 4 to 5 years in business,38211,W,688583,13692908,,
10289,Accommodation and food services,Total,001,92,Nonminority,Total,321,Firms with 6 to 10 years in business,55611,W,1043929,20073598,,
10290,Accommodation and food services,Total,001,92,Nonminority,Total,322,Firms with 11 to 15 years in business,41496,W,918835,18484939,,
10291,Accommodation and food services,Total,001,92,Nonminority,Total,323,Firms with 16 or more years in business,81358,W,3779345,73569989,,
10292,Accommodation and food services,Female,001,92,Nonminority,Total,311,Firms with less than 2 years in business,12556,W,95236,2161951,,
10293,Accommodation and food services,Female,001,92,Nonminority,Total,318,Firms with 2 to 3 years in business,10737,W,133195,2469189,,
10294,Accommodation and food services,Female,001,92,Nonminority,Total,319,Firms with 4 to 5 years in business,7772,W,112289,2388343,,
10295,Accommodation and food services,Female,001,92,Nonminority,Total,321,Firms with 6 to 10 years in business,11844,W,167852,3089298,,
10296,Accommodation and food services,Female,001,92,Nonminority,Total,322,Firms with 11 to 15 years in business,8475,W,120344,2200476,,
10297,Accommodation and food services,Female,001,92,Nonminority,Total,323,Firms with 16 or more years in business,16056,W,446409,9164083,,
10298,Accommodation and food services,Male,001,92,Nonminority,Total,311,Firms with less than 2 years in business,37618,W,401103,8811895,,
10299,Accommodation and food services,Male,001,92,Nonminority,Total,318,Firms with 2 to 3 years in business,29423,W,519883,9412467,,
10300,Accommodation and food services,Male,001,92,Nonminority,Total,319,Firms with 4 to 5 years in business,22663,W,449577,8907453,,
10301,Accommodation and food services,Male,001,92,Nonminority,Total,321,Firms with 6 to 10 years in business,32667,W,684905,13484256,,
10302,Accommodation and food services,Male,001,92,Nonminority,Total,322,Firms with 11 to 15 years in business,24687,W,603798,12492002,,
10303,Accommodation and food services,Male,001,92,Nonminority,Total,323,Firms with 16 or more years in business,48996,W,2813563,54467899,,
10304,Accommodation and food services,Equally male/female,001,92,Nonminority,Total,311,Firms with less than 2 years in business,12572,W,94776,2038903,,
10305,Accommodation and food services,Equally male/female,001,92,Nonminority,Total,318,Firms with 2 to 3 years in business,10281,W,140586,2429927,,
10306,Accommodation and food services,Equally male/female,001,92,Nonminority,Total,319,Firms with 4 to 5 years in business,7774,W,126717,2397111,,
10307,Accommodation and food services,Equally male/female,001,92,Nonminority,Total,321,Firms with 6 to 10 years in business,11101,W,191173,3500044,,
10308,Accommodation and food services,Equally male/female,001,92,Nonminority,Total,322,Firms with 11 to 15 years in business,8334,W,194693,3792461,,
10309,Accommodation and food services,Equally male/female,001,92,Nonminority,Total,323,Firms with 16 or more years in business,16307,W,519372,9938007,,
10310,Accommodation and food services,Total,001,00,Total,Veteran,311,Firms with less than 2 years in business,3578,U,43911,1085043,,
10311,Accommodation and food services,Total,001,00,Total,Veteran,318,Firms with 2 to 3 years in business,2310,U,42755,727969,,
10312,Accommodation and food services,Total,001,00,Total,Veteran,319,Firms with 4 to 5 years in business,2445,U,48571,934285,,
10313,Accommodation and food services,Total,001,00,Total,Veteran,321,Firms with 6 to 10 years in business,S,S,"50,000 to 99,999 employees",S,,
10314,Accommodation and food services,Total,001,00,Total,Veteran,322,Firms with 11 to 15 years in business,2556,U,49611,893944,,
10315,Accommodation and food services,Total,001,00,Total,Veteran,323,Firms with 16 or more years in business,4848,W,363748,6796762,,
10316,Accommodation and food services,Female,001,00,Total,Veteran,311,Firms with less than 2 years in business,S,S,"10,000 to 24,999 employees",S,,
10317,Accommodation and food services,Female,001,00,Total,Veteran,318,Firms with 2 to 3 years in business,S,S,"2,500 to 4,999 employees",S,,
10318,Accommodation and food services,Female,001,00,Total,Veteran,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
10319,Accommodation and food services,Female,001,00,Total,Veteran,321,Firms with 6 to 10 years in business,S,S,"2,500 to 4,999 employees",S,,
10320,Accommodation and food services,Female,001,00,Total,Veteran,322,Firms with 11 to 15 years in business,S,S,"1,000 to 2,499 employees",S,,
10321,Accommodation and food services,Female,001,00,Total,Veteran,323,Firms with 16 or more years in business,S,S,"10,000 to 24,999 employees",S,,
10322,Accommodation and food services,Male,001,00,Total,Veteran,311,Firms with less than 2 years in business,3308,U,31477,716684,,
10323,Accommodation and food services,Male,001,00,Total,Veteran,318,Firms with 2 to 3 years in business,2092,U,38585,676513,,
10324,Accommodation and food services,Male,001,00,Total,Veteran,319,Firms with 4 to 5 years in business,2205,U,47013,903831,,
10325,Accommodation and food services,Male,001,00,Total,Veteran,321,Firms with 6 to 10 years in business,S,S,"50,000 to 99,999 employees",S,,
10326,Accommodation and food services,Male,001,00,Total,Veteran,322,Firms with 11 to 15 years in business,2283,U,45913,829093,,
10327,Accommodation and food services,Male,001,00,Total,Veteran,323,Firms with 16 or more years in business,4535,W,350702,6598178,,
10328,Accommodation and food services,Equally male/female,001,00,Total,Veteran,311,Firms with less than 2 years in business,S,S,"1,000 to 2,499 employees",S,,
10329,Accommodation and food services,Equally male/female,001,00,Total,Veteran,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
10330,Accommodation and food services,Equally male/female,001,00,Total,Veteran,319,Firms with 4 to 5 years in business,D,D,100 to 249 employees,D,,
10331,Accommodation and food services,Equally male/female,001,00,Total,Veteran,321,Firms with 6 to 10 years in business,S,S,500 to 999 employees,S,,
10332,Accommodation and food services,Equally male/female,001,00,Total,Veteran,322,Firms with 11 to 15 years in business,S,S,"1,000 to 2,499 employees",S,,
10333,Accommodation and food services,Equally male/female,001,00,Total,Veteran,323,Firms with 16 or more years in business,S,S,500 to 999 employees,S,,
10334,Accommodation and food services,Total,020,00,Total,Veteran,311,Firms with less than 2 years in business,S,S,"10,000 to 24,999 employees",S,,
10335,Accommodation and food services,Total,020,00,Total,Veteran,318,Firms with 2 to 3 years in business,S,S,250 to 499 employees,S,,
10336,Accommodation and food services,Total,020,00,Total,Veteran,319,Firms with 4 to 5 years in business,S,S,"2,500 to 4,999 employees",S,,
10337,Accommodation and food services,Total,020,00,Total,Veteran,321,Firms with 6 to 10 years in business,S,S,500 to 999 employees,S,,
10338,Accommodation and food services,Total,020,00,Total,Veteran,322,Firms with 11 to 15 years in business,D,D,500 to 999 employees,D,,
10339,Accommodation and food services,Total,020,00,Total,Veteran,323,Firms with 16 or more years in business,154,T,6835,158885,,
10340,Accommodation and food services,Total,028,00,Total,Veteran,311,Firms with less than 2 years in business,D,D,0 to 19 employees,D,,
10341,Accommodation and food services,Total,028,00,Total,Veteran,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
10342,Accommodation and food services,Total,028,00,Total,Veteran,322,Firms with 11 to 15 years in business,D,D,0 to 19 employees,D,,
10343,Accommodation and food services,Total,029,00,Total,Veteran,311,Firms with less than 2 years in business,3385,U,32411,757193,,
10344,Accommodation and food services,Total,029,00,Total,Veteran,318,Firms with 2 to 3 years in business,2140,U,40902,705417,,
10345,Accommodation and food services,Total,029,00,Total,Veteran,319,Firms with 4 to 5 years in business,2295,U,45002,826054,,
10346,Accommodation and food services,Total,029,00,Total,Veteran,321,Firms with 6 to 10 years in business,S,S,"50,000 to 99,999 employees",S,,
10347,Accommodation and food services,Total,029,00,Total,Veteran,322,Firms with 11 to 15 years in business,2525,U,48942,876680,,
10348,Accommodation and food services,Total,029,00,Total,Veteran,323,Firms with 16 or more years in business,4695,W,356913,6637878,,
10349,Accommodation and food services,Total,001,30,White,Veteran,311,Firms with less than 2 years in business,3294,U,42739,1061865,,
10350,Accommodation and food services,Total,001,30,White,Veteran,318,Firms with 2 to 3 years in business,2064,U,37655,647647,,
10351,Accommodation and food services,Total,001,30,White,Veteran,319,Firms with 4 to 5 years in business,2294,U,45483,876302,,
10352,Accommodation and food services,Total,001,30,White,Veteran,321,Firms with 6 to 10 years in business,S,S,"50,000 to 99,999 employees",S,,
10353,Accommodation and food services,Total,001,30,White,Veteran,322,Firms with 11 to 15 years in business,2254,U,44470,816673,,
10354,Accommodation and food services,Total,001,30,White,Veteran,323,Firms with 16 or more years in business,4663,W,357474,6654397,,
10355,Accommodation and food services,Total,001,40,Black or African American,Veteran,311,Firms with less than 2 years in business,S,S,250 to 499 employees,S,,
10356,Accommodation and food services,Total,001,40,Black or African American,Veteran,318,Firms with 2 to 3 years in business,D,D,"2,500 to 4,999 employees",D,,
10357,Accommodation and food services,Total,001,40,Black or African American,Veteran,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
10358,Accommodation and food services,Total,001,40,Black or African American,Veteran,321,Firms with 6 to 10 years in business,S,S,"1,000 to 2,499 employees",S,,
10359,Accommodation and food services,Total,001,40,Black or African American,Veteran,322,Firms with 11 to 15 years in business,S,S,"1,000 to 2,499 employees",S,,
10360,Accommodation and food services,Total,001,40,Black or African American,Veteran,323,Firms with 16 or more years in business,S,S,"5,000 to 9,999 employees",S,,
10361,Accommodation and food services,Total,001,50,American Indian and Alaska Native,Veteran,311,Firms with less than 2 years in business,7,I,8,240,,
10362,Accommodation and food services,Total,001,50,American Indian and Alaska Native,Veteran,318,Firms with 2 to 3 years in business,S,S,500 to 999 employees,S,,
10363,Accommodation and food services,Total,001,50,American Indian and Alaska Native,Veteran,319,Firms with 4 to 5 years in business,D,D,0 to 19 employees,D,,
10364,Accommodation and food services,Total,001,50,American Indian and Alaska Native,Veteran,321,Firms with 6 to 10 years in business,D,D,100 to 249 employees,D,,
10365,Accommodation and food services,Total,001,50,American Indian and Alaska Native,Veteran,323,Firms with 16 or more years in business,D,D,100 to 249 employees,D,,
10366,Accommodation and food services,Total,001,60,Asian,Veteran,311,Firms with less than 2 years in business,S,S,500 to 999 employees,S,,
10367,Accommodation and food services,Total,001,60,Asian,Veteran,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
10368,Accommodation and food services,Total,001,60,Asian,Veteran,319,Firms with 4 to 5 years in business,D,D,"1,000 to 2,499 employees",D,,
10369,Accommodation and food services,Total,001,60,Asian,Veteran,321,Firms with 6 to 10 years in business,S,S,"1,000 to 2,499 employees",S,,
10370,Accommodation and food services,Total,001,60,Asian,Veteran,322,Firms with 11 to 15 years in business,S,S,"2,500 to 4,999 employees",S,,
10371,Accommodation and food services,Total,001,60,Asian,Veteran,323,Firms with 16 or more years in business,D,D,"1,000 to 2,499 employees",D,,
10372,Accommodation and food services,Total,001,70,Native Hawaiian and Other Pacific Islander,Veteran,322,Firms with 11 to 15 years in business,D,D,20 to 99 employees,D,,
10373,Accommodation and food services,Total,001,70,Native Hawaiian and Other Pacific Islander,Veteran,323,Firms with 16 or more years in business,D,D,250 to 499 employees,D,,
10374,Accommodation and food services,Total,001,90,Minority,Veteran,311,Firms with less than 2 years in business,S,S,"10,000 to 24,999 employees",S,,
10375,Accommodation and food services,Total,001,90,Minority,Veteran,318,Firms with 2 to 3 years in business,S,S,"5,000 to 9,999 employees",S,,
10376,Accommodation and food services,Total,001,90,Minority,Veteran,319,Firms with 4 to 5 years in business,S,S,"5,000 to 9,999 employees",S,,
10377,Accommodation and food services,Total,001,90,Minority,Veteran,321,Firms with 6 to 10 years in business,S,S,"5,000 to 9,999 employees",S,,
10378,Accommodation and food services,Total,001,90,Minority,Veteran,322,Firms with 11 to 15 years in business,S,S,"5,000 to 9,999 employees",S,,
10379,Accommodation and food services,Total,001,90,Minority,Veteran,323,Firms with 16 or more years in business,369,U,13288,302450,,
10380,Accommodation and food services,Total,001,91,Equally minority/nonminority,Veteran,311,Firms with less than 2 years in business,S,S,0 to 19 employees,S,,
10381,Accommodation and food services,Total,001,91,Equally minority/nonminority,Veteran,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
10382,Accommodation and food services,Total,001,91,Equally minority/nonminority,Veteran,319,Firms with 4 to 5 years in business,D,D,0 to 19 employees,D,,
10383,Accommodation and food services,Total,001,91,Equally minority/nonminority,Veteran,322,Firms with 11 to 15 years in business,D,D,0 to 19 employees,D,,
10384,Accommodation and food services,Total,001,91,Equally minority/nonminority,Veteran,323,Firms with 16 or more years in business,D,D,20 to 99 employees,D,,
10385,Accommodation and food services,Total,001,92,Nonminority,Veteran,311,Firms with less than 2 years in business,3094,U,31232,733611,,
10386,Accommodation and food services,Total,001,92,Nonminority,Veteran,318,Firms with 2 to 3 years in business,1841,U,35190,619596,,
10387,Accommodation and food services,Total,001,92,Nonminority,Veteran,319,Firms with 4 to 5 years in business,2143,U,41913,768062,,
10388,Accommodation and food services,Total,001,92,Nonminority,Veteran,321,Firms with 6 to 10 years in business,S,S,"25,000 to 49,999 employees",S,,
10389,Accommodation and food services,Total,001,92,Nonminority,Veteran,322,Firms with 11 to 15 years in business,2223,U,43802,799409,,
10390,Accommodation and food services,Total,001,92,Nonminority,Veteran,323,Firms with 16 or more years in business,4478,W,350426,6493776,,
10391,Accommodation and food services,Total,001,00,Total,Equally veteran/nonveteran,311,Firms with less than 2 years in business,2487,U,24415,1583643,,
10392,Accommodation and food services,Total,001,00,Total,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,2092,U,30680,497818,,
10393,Accommodation and food services,Total,001,00,Total,Equally veteran/nonveteran,319,Firms with 4 to 5 years in business,S,S,"10,000 to 24,999 employees",S,,
10394,Accommodation and food services,Total,001,00,Total,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,2259,U,32170,620880,,
10395,Accommodation and food services,Total,001,00,Total,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,1658,U,34148,730995,,
10396,Accommodation and food services,Total,001,00,Total,Equally veteran/nonveteran,323,Firms with 16 or more years in business,3926,W,117527,2202593,,
10397,Accommodation and food services,Female,001,00,Total,Equally veteran/nonveteran,311,Firms with less than 2 years in business,D,D,0 to 19 employees,D,,
10398,Accommodation and food services,Female,001,00,Total,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,D,D,"2,500 to 4,999 employees",D,,
10399,Accommodation and food services,Female,001,00,Total,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,D,D,20 to 99 employees,D,,
10400,Accommodation and food services,Male,001,00,Total,Equally veteran/nonveteran,311,Firms with less than 2 years in business,527,R,6416,112379,,
10401,Accommodation and food services,Male,001,00,Total,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,642,R,7898,129087,,
10402,Accommodation and food services,Male,001,00,Total,Equally veteran/nonveteran,319,Firms with 4 to 5 years in business,521,R,7564,148249,,
10403,Accommodation and food services,Male,001,00,Total,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,S,S,"5,000 to 9,999 employees",S,,
10404,Accommodation and food services,Male,001,00,Total,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,S,S,"10,000 to 24,999 employees",S,,
10405,Accommodation and food services,Male,001,00,Total,Equally veteran/nonveteran,323,Firms with 16 or more years in business,1000,U,46215,860907,,
10406,Accommodation and food services,Equally male/female,001,00,Total,Equally veteran/nonveteran,311,Firms with less than 2 years in business,1959,U,17994,1471215,,
10407,Accommodation and food services,Equally male/female,001,00,Total,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,1389,U,18615,317739,,
10408,Accommodation and food services,Equally male/female,001,00,Total,Equally veteran/nonveteran,319,Firms with 4 to 5 years in business,S,S,"10,000 to 24,999 employees",S,,
10409,Accommodation and food services,Equally male/female,001,00,Total,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,1697,U,24600,444638,,
10410,Accommodation and food services,Equally male/female,001,00,Total,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,1192,T,18602,299632,,
10411,Accommodation and food services,Equally male/female,001,00,Total,Equally veteran/nonveteran,323,Firms with 16 or more years in business,2925,U,71312,1341686,,
10412,Accommodation and food services,Total,020,00,Total,Equally veteran/nonveteran,311,Firms with less than 2 years in business,S,S,"2,500 to 4,999 employees",S,,
10413,Accommodation and food services,Total,020,00,Total,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,D,D,100 to 249 employees,D,,
10414,Accommodation and food services,Total,020,00,Total,Equally veteran/nonveteran,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
10415,Accommodation and food services,Total,020,00,Total,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,S,S,500 to 999 employees,S,,
10416,Accommodation and food services,Total,020,00,Total,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,S,S,"1,000 to 2,499 employees",S,,
10417,Accommodation and food services,Total,020,00,Total,Equally veteran/nonveteran,323,Firms with 16 or more years in business,S,S,"1,000 to 2,499 employees",S,,
10418,Accommodation and food services,Total,028,00,Total,Equally veteran/nonveteran,311,Firms with less than 2 years in business,S,S,"1,000 to 2,499 employees",S,,
10419,Accommodation and food services,Total,028,00,Total,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,S,S,500 to 999 employees,S,,
10420,Accommodation and food services,Total,028,00,Total,Equally veteran/nonveteran,319,Firms with 4 to 5 years in business,S,S,500 to 999 employees,S,,
10421,Accommodation and food services,Total,028,00,Total,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,S,S,"2,500 to 4,999 employees",S,,
10422,Accommodation and food services,Total,028,00,Total,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,33,R,2657,60638,,
10423,Accommodation and food services,Total,028,00,Total,Equally veteran/nonveteran,323,Firms with 16 or more years in business,S,S,"5,000 to 9,999 employees",S,,
10424,Accommodation and food services,Total,029,00,Total,Equally veteran/nonveteran,311,Firms with less than 2 years in business,2167,U,19142,378109,,
10425,Accommodation and food services,Total,029,00,Total,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,1959,U,29833,488229,,
10426,Accommodation and food services,Total,029,00,Total,Equally veteran/nonveteran,319,Firms with 4 to 5 years in business,S,S,"10,000 to 24,999 employees",S,,
10427,Accommodation and food services,Total,029,00,Total,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,2048,U,28481,543603,,
10428,Accommodation and food services,Total,029,00,Total,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,1565,U,29795,624999,,
10429,Accommodation and food services,Total,029,00,Total,Equally veteran/nonveteran,323,Firms with 16 or more years in business,3642,W,110445,2053360,,
10430,Accommodation and food services,Total,001,30,White,Equally veteran/nonveteran,311,Firms with less than 2 years in business,2347,U,23844,1567910,,
10431,Accommodation and food services,Total,001,30,White,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,1906,U,28486,465225,,
10432,Accommodation and food services,Total,001,30,White,Equally veteran/nonveteran,319,Firms with 4 to 5 years in business,S,S,"10,000 to 24,999 employees",S,,
10433,Accommodation and food services,Total,001,30,White,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,2124,U,29831,589392,,
10434,Accommodation and food services,Total,001,30,White,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,1597,U,33487,720062,,
10435,Accommodation and food services,Total,001,30,White,Equally veteran/nonveteran,323,Firms with 16 or more years in business,3645,W,101593,1920233,,
10436,Accommodation and food services,Total,001,40,Black or African American,Equally veteran/nonveteran,311,Firms with less than 2 years in business,S,S,250 to 499 employees,S,,
10437,Accommodation and food services,Total,001,40,Black or African American,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,D,D,500 to 999 employees,D,,
10438,Accommodation and food services,Total,001,40,Black or African American,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,D,D,"1,000 to 2,499 employees",D,,
10439,Accommodation and food services,Total,001,40,Black or African American,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,D,D,0 to 19 employees,D,,
10440,Accommodation and food services,Total,001,40,Black or African American,Equally veteran/nonveteran,323,Firms with 16 or more years in business,D,D,250 to 499 employees,D,,
10441,Accommodation and food services,Total,001,50,American Indian and Alaska Native,Equally veteran/nonveteran,311,Firms with less than 2 years in business,3,I,11,526,,
10442,Accommodation and food services,Total,001,50,American Indian and Alaska Native,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,D,D,0 to 19 employees,D,,
10443,Accommodation and food services,Total,001,50,American Indian and Alaska Native,Equally veteran/nonveteran,323,Firms with 16 or more years in business,D,D,100 to 249 employees,D,,
10444,Accommodation and food services,Total,001,60,Asian,Equally veteran/nonveteran,311,Firms with less than 2 years in business,36,L,54,3494,,
10445,Accommodation and food services,Total,001,60,Asian,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,D,D,100 to 249 employees,D,,
10446,Accommodation and food services,Total,001,60,Asian,Equally veteran/nonveteran,319,Firms with 4 to 5 years in business,S,S,250 to 499 employees,S,,
10447,Accommodation and food services,Total,001,60,Asian,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,D,D,20 to 99 employees,D,,
10448,Accommodation and food services,Total,001,60,Asian,Equally veteran/nonveteran,322,Firms with 11 to 15 years in business,D,D,250 to 499 employees,D,,
10449,Accommodation and food services,Total,001,60,Asian,Equally veteran/nonveteran,323,Firms with 16 or more years in business,D,D,250 to 499 employees,D,,
10450,Accommodation and food services,Total,001,90,Minority,Equally veteran/nonveteran,311,Firms with less than 2 years in business,S,S,"2,500 to 4,999 employees",S,,
10451,Accommodation and food services,Total,001,90,Minority,Equally veteran/nonveteran,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
10452,Accommodation and food services,Total,001,90,Minority,Equally veteran/nonveteran,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
10453,Accommodation and food services,Total,001,90,Minority,Equally veteran/nonveteran,321,Firms with 6 to 10 years in business,S,S,"1,000 to 2,499 employees",S,,
